"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","858","test AK EDT TC03 positive close panel","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","12751","test AK GEN TC11 positive success duplicate name","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","10752","test AK EDT TC08 positive cross browser sync","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","5806","test AK DEL TC02 positive confirm","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","5455","test AK DEL TC01 positive cancel","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","16218","test AK TBL TC08 positive column sorting","AQX","2026-06-08","passed","2026-06-08","","Settings - Api Keys - Table","",""
"","9482","test AK EDT TC04 positive success edit single status","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","869","test AK VIW TC02 positive close panel","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Panel View","",""
"","8669","test AK DEL TC04 negative network error","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","8719","test AK EDT TC04 positive success edit expiry","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","33577","test AK TBL TC05 positive resize columns","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","9768","test AK EDT TC04 positive success edit single expiry","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","3014","test AK GEN TC03 negative empty submission","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","6709","test AK DEL TC05 negative delete deleted record","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","1935","test AK GEN TC07 positive toggle status","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","9728","test AK TBL TC04 positive search by full word","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","3477","test AK TBL TC01 positive navigation","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","4682","test AK VIW TC01 positive default state","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Panel View","",""
"","10192","test AK TBL TC09 positive column sorting with search","AQX","2026-06-08","passed","2026-06-08","","Settings - Api Keys - Table","",""
"","10179","test AK TBL TC09 positive column sorting with search","AQX","2026-06-08","passed","2026-06-08","","Settings - Api Keys - Table","",""
"","22228","test AK TBL TC07 positive resize columns table overflow","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","3560","test AK VIW TC03 negative view deleted record","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel View","",""
"","7839","test AK DEL TC06 positive cross browser sync","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","15740","test AK TBL TC08 positive column sorting","AQX","2026-06-08","passed","2026-06-08","","Settings - Api Keys - Table","",""
"","19602","test AK TBL TC03 positive filter dropdown","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","8484","test TA TBL TC10 positive search by case insensitive","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","4643","test TA DEL TC02 positive cancel from edit panel","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","12510","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","1371","test TA ADD TC02 positive trading user validation inactive user","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","39206","test TA TBL TC07 resize columns","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","15753","test TA EDT TC02 positive close panel","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","14156","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","4393","test TA DEL TC06 negative network error from edit panel","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","9785","test TA VIW TC03 positive button copy","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Panel View","",""
"","14260","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","1288","test TA TBL TC02 positive table data validation","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","12775","test TA TBL TC03 positive table pagination button nav","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","4148","test TA EDT TC09 negative update failed","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","6773","test TA TBL TC04 positive table pagination page number","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","1723","test TA ADD TC02 positive trading user validation options","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","4172","test TA TBL TC13 positive dropdown functionality combination","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","4352","test TA DEL TC01 positive cancel from action","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","17870","test TA ADD TC09 positive duplicate creation","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
